episode,step,x,y
5.00,4.00,137.22,259.34
5.00,5.00,160.77,267.74
5.00,6.00,183.69,277.74
5.00,7.00,201.36,295.42
5.00,8.00,220.90,279.82
5.00,9.00,241.88,293.41
5.00,10.00,218.64,302.64
5.00,11.00,236.32,284.96
5.00,12.00,254.00,267.28
5.00,13.00,277.92,260.01
5.00,14.00,291.05,238.74
5.00,15.00,301.64,261.38
5.00,16.00,319.31,279.06
5.00,17.00,333.51,299.64
5.00,18.00,351.19,281.96
5.00,19.00,357.11,306.25
5.00,20.00,380.20,296.67
5.00,21.00,385.20,321.17
5.00,22.00,406.18,334.76
5.00,23.00,414.78,358.24
5.00,24.00,432.46,375.91
5.00,25.00,451.16,359.33
5.00,26.00,474.11,369.26
5.00,27.00,477.01,394.09
5.00,28.00,501.96,392.43
5.00,29.00,494.14,416.17
5.00,30.00,503.66,439.29
5.00,31.00,486.92,457.86
5.00,32.00,500.08,479.12
5.00,33.00,511.80,457.04
5.00,34.00,489.41,468.17
5.00,35.00,508.17,484.70
5.00,36.00,530.35,473.17
5.00,37.00,540.81,495.88
5.00,38.00,561.51,481.87
5.00,39.00,579.19,499.55
5.00,40.00,602.80,491.33
5.00,41.00,624.37,503.98
5.00,42.00,642.04,521.65
5.00,43.00,665.52,513.05
5.00,44.00,688.01,523.97
5.00,45.00,710.92,513.97
5.00,46.00,733.54,524.61
5.00,47.00,747.34,545.45
5.00,48.00,732.00,525.71
5.00,49.00,754.52,514.84
5.00,50.00,776.18,527.32
5.00,51.00,791.70,546.93
5.00,52.00,812.29,561.10
5.00,53.00,810.78,586.06
5.00,54.00,835.62,583.18
5.00,55.00,860.56,581.42
5.00,56.00,883.90,590.36
5.00,57.00,907.11,581.08
5.00,58.00,925.91,597.57
6.00,1.00,77.68,217.68
6.00,2.00,90.91,238.89
6.00,3.00,107.35,220.06
6.00,4.00,89.19,237.24
6.00,5.00,110.63,250.11
6.00,6.00,128.31,267.78
6.00,7.00,145.98,285.46
6.00,8.00,167.94,273.50
6.00,9.00,156.41,295.68
6.00,10.00,175.11,279.09
6.00,11.00,188.28,300.34
6.00,12.00,196.48,323.96
6.00,13.00,181.33,343.85
6.00,14.00,205.95,348.19
6.00,15.00,228.31,336.99
6.00,16.00,253.27,335.58
6.00,17.00,239.39,356.37
6.00,18.00,224.52,376.47
6.00,19.00,236.83,354.71
